Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K00469.01,1,6.17,908.0,10.32906563,1.049,6228.0,1.107,4.441,0.053874,2
K00415.01,1,7.03,334.0,166.7876551,1.031,5663.0,0.923,4.377,0.062452,2
K04896.02,2,1.48,532.0,49.537365,1.023,6118.0,0.995,4.416,0.013263,2
K00474.03,4,4.24,429.0,94.886902,1.097,5888.0,0.966,4.342,0.035401,2
K04838.03,3,1.1,400.0,24.0721647,0.613,4352.0,0.64,4.671,0.016375,2
K00417.01,1,12.23,656.0,19.19310355,0.892,5883.0,0.985,4.53,0.125536,2
K05007.02,2,2.27,581.0,80.881757,1.885,5934.0,1.141,3.945,0.011018,2
K00080.01,1,96.08,1966.0,9.250572762,3.294,8133.0,2.053,3.715,0.267107,2
K00728.01,1,11.94,1026.0,7.189379172,1.076,6214.0,1.169,4.442,0.10163,2
K07628.01,1,0.69,1158.0,1.8134378,0.7,5094.0,0.743,4.618,0.009047,2
K00682.01,1,10.9,241.0,562.1725914,1.289,5589.0,1.026,4.229,0.077456,2
K00683.01,1,5.86,286.0,278.1243979,1.05,5799.0,1.028,4.408,0.051146,2
K00684.01,1,6.95,1452.0,4.034914368,1.793,5548.0,1.079,3.964,0.035486,2
K00686.01,1,12.43,472.0,52.51354873,0.98,5589.0,0.925,4.421,0.116129,2
K00687.01,1,3.13,1430.0,4.17838675,1.687,5746.0,1.136,4.039,0.016989,2
K07630.01,1,0.78,388.0,16.2982201,0.521,3905.0,0.538,4.736,0.013741,2
K00099.01,2,3.12,109.0,2190.701035,0.736,4965.0,0.709,4.555,0.038811,2
K00732.02,3,1.23,1139.0,3.29534567,0.954,5550.0,1.05,4.5,0.011781,2
K00732.03,3,1.41,975.0,5.25449393,0.954,5550.0,1.05,4.5,0.013572,2
K00548.02,2,0.86,1101.0,6.0799457,1.168,6008.0,1.117,4.35,0.00678,2
K00734.02,2,2.54,434.0,70.2780911,0.91,5955.0,0.999,4.52,0.025584,2
K00100.01,1,16.89,1578.0,9.9664004,3.079,6638.0,1.595,3.664,0.050235,2
K00641.01,1,2.73,457.0,14.85185526,0.652,4129.0,0.671,4.636,0.038325,2
K07378.02,2,3.58,310.0,56.391062,0.628,4406.0,0.632,4.643,0.052224,2
K00735.01,1,5.19,526.0,22.34213536,0.707,5237.0,0.674,4.568,0.067166,2
K00648.01,1,15.45,1567.0,10.47490332,3.232,6526.0,1.573,3.616,0.04377,2
K04388.02,2,2.47,699.0,61.858947,2.817,5529.0,1.402,3.685,0.008029,2
K00102.01,2,3.27,1554.0,1.73513619,1.071,5751.0,1.028,4.391,0.027957,2
K00102.02,2,0.98,1170.0,4.06844957,1.071,5751.0,1.028,4.391,0.008409,2
K04577.02,2,0.79,1215.0,3.07365139,0.831,6068.0,0.931,4.565,0.008751,2
K07621.01,1,1.86,303.0,275.07365,1.187,5604.0,0.864,4.226,0.014379,2
K04622.02,2,0.73,676.0,4.50158249,0.553,4339.0,0.573,4.711,0.012009,2
K00605.02,2,0.62,592.0,5.06546874,0.557,3939.0,0.575,4.705,0.010226,2
K00607.01,1,11.16,940.0,5.89399142,0.893,5713.0,1.01,4.541,0.114425,2
K04692.02,2,0.72,875.0,7.6720844,0.807,5972.0,0.884,4.57,0.008203,2
K00611.01,1,9.83,1384.0,3.251659087,1.087,6367.0,1.131,4.419,0.082842,2
K04700.02,2,1.83,388.0,66.47762,0.775,5515.0,0.868,4.592,0.021656,2
K00716.01,1,6.78,614.0,26.89316101,0.908,6096.0,0.975,4.511,0.068343,2
K07636.01,1,0.73,1765.0,0.702739679,0.836,5269.0,0.819,4.508,0.008044,2
K00621.01,1,14.25,538.0,17.76199841,0.669,5088.0,0.667,4.612,0.195094,2
