Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
2,0.016999,5.1952021,1.37,836.0,5044.0,0.738,0.708,4.551,2
1,0.016769,31.6084371,1.89,634.0,6341.0,1.033,1.083,4.446,2
1,0.035167,16.1558656,2.04,455.0,4504.0,0.53,0.528,4.713,2
1,0.016741,3.375716723,2.34,1472.0,6310.0,1.282,1.122,4.273,2
2,0.040531,75.8580035,2.72,281.0,4474.0,0.614,0.645,4.67,2
1,0.00674,10.16435076,1.99,1389.0,6133.0,2.71,1.401,3.718,2
1,0.048997,237.787237,9.91,354.0,5185.0,1.853,1.08,3.936,2
1,0.010803,0.698461304,14.81,5173.0,4676.0,12.558,2.17,2.577,2
1,0.101746,110.7556272,29.64,651.0,6525.0,2.668,1.536,3.772,2
1,0.294294,14.4079035,23.4,624.0,5440.0,0.728,0.814,4.617,2
2,0.009348,7.0956395,1.2,989.0,5480.0,1.174,0.915,4.26,2
1,0.033253,79.2450351,3.33,404.0,5648.0,0.917,0.892,4.464,2
1,0.051738,126.4451275,4.49,321.0,5613.0,0.795,0.888,4.581,2
2,0.007546,1.716828304,0.74,1455.0,5808.0,0.902,0.987,4.522,2
1,0.016375,5.77207177,1.54,915.0,5591.0,0.86,0.977,4.559,2
1,0.024756,46.151253,2.08,423.0,5204.0,0.769,0.723,4.525,2
1,0.078728,165.3447044,6.98,301.0,5594.0,0.812,0.798,4.52,2
1,0.04074,97.4463194,3.05,283.0,4735.0,0.686,0.73,4.627,2
1,0.045604,174.636181,11.12,481.0,5974.0,2.232,1.313,3.859,2
1,0.006353,1.791877025,1.48,2223.0,6002.0,2.139,1.156,3.841,2
3,0.011555,145.881936,1.8,424.0,6052.0,1.424,1.128,4.183,2
1,0.220575,2.50343279,20.23,1147.0,5174.0,0.84,0.782,4.483,2
2,0.030816,96.4562198,9.1,727.0,7029.0,2.704,1.704,3.806,2
2,0.019632,44.5643831,5.8,940.0,7029.0,2.704,1.704,3.806,2
1,0.02963,253.374581,19.25,555.0,5177.0,5.949,2.122,3.216,2
1,0.01031,21.1181653,2.89,1110.0,6461.0,2.566,1.443,3.779,2
1,0.009874,5.06092282,0.98,998.0,5637.0,0.911,0.939,4.492,2
1,0.019204,0.910020582,1.12,1127.0,4297.0,0.533,0.55,4.725,2
1,0.011362,1.07808492,1.01,1417.0,4906.0,0.814,0.783,4.511,2
1,0.014113,11.1916199,1.47,782.0,5646.0,0.956,0.97,4.464,2
1,0.030591,174.731515,3.0,287.0,5201.0,0.897,0.82,4.447,2
1,0.009355,0.858546796,0.88,1671.0,5269.0,0.864,0.843,4.491,2
2,0.004772,5.518195,0.46,969.0,5767.0,0.881,0.979,4.538,2
1,0.063426,75.1122132,23.23,777.0,6201.0,3.354,1.694,3.616,2
1,0.208191,3.76562031,19.39,1084.0,5743.0,0.853,0.949,4.553,2
1,0.006346,2.46288834,0.67,1391.0,5893.0,0.967,0.848,4.395,2
1,0.008821,10.9192653,1.9,1107.0,5745.0,1.972,1.234,3.939,2
2,0.012312,5.05368985,1.21,1007.0,5772.0,0.901,0.999,4.528,2
1,0.013564,4.21223579,1.04,887.0,5116.0,0.7,0.698,4.591,2
3,0.016939,7.305706326,2.11,972.0,5620.0,1.143,1.025,4.333,2
1,0.039073,1.951082219,10.35,2005.0,5302.0,2.426,1.258,3.768,2
2,0.009941,23.1375919,1.83,837.0,6078.0,1.683,1.285,4.094,2
2,0.020761,18.9763286,2.24,638.0,5300.0,0.986,0.861,4.385,2
2,0.012538,6.34724702,1.35,919.0,5300.0,0.986,0.861,4.385,2
2,0.007669,10.76800074,0.92,885.0,5874.0,1.096,0.954,4.338,2
2,0.005511,4.32848303,0.66,1199.0,5874.0,1.096,0.954,4.338,2
1,0.046727,46.15119482,10.02,703.0,5877.0,1.963,1.187,3.927,2
2,0.036574,4.780327581,7.14,1441.0,5937.0,1.787,1.197,4.012,2
1,0.012788,7.64809462,1.19,840.0,5641.0,0.85,0.944,4.554,2
1,0.031742,31.0209175,1.66,291.0,3720.0,0.48,0.488,4.764,2
1,0.016174,2.118893997,1.41,1230.0,5504.0,0.796,0.892,4.583,2
1,0.005396,7.49133777,1.01,1291.0,6177.0,1.71,1.051,3.993,2
1,0.013557,5.4654174,1.23,927.0,5612.0,0.829,0.926,4.566,2
1,0.008919,6.06664931,0.87,915.0,5569.0,0.892,0.963,4.521,2
1,0.034479,2.184437698,0.94,529.0,3421.0,0.25,0.236,5.014,2
1,0.014945,15.2311195,1.94,800.0,5836.0,1.186,1.061,4.316,2
1,0.015608,4.8099878,1.59,1077.0,5988.0,0.934,1.021,4.507,2
1,0.009687,5.08288076,1.15,1183.0,6217.0,1.083,1.011,4.375,2
1,0.018009,31.0259489,1.91,595.0,6075.0,0.969,1.048,4.486,2
