Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
2,0.111685,39.6431552,10.98,472.0,5231.0,0.9,0.844,4.455,1
1,0.236829,51.42598578,29.66,549.0,6257.0,1.147,1.233,4.41,0
1,0.033653,21.80451611,2.6,543.0,5481.0,0.708,0.806,4.629,1
3,0.029849,10.28194593,2.53,680.0,5196.0,0.775,0.869,4.593,1
3,0.034825,18.11993039,2.95,563.0,5196.0,0.775,0.869,4.593,1
3,0.020134,3.78402867,1.7,949.0,5196.0,0.775,0.869,4.593,1
1,0.030415,5.15448142,2.94,964.0,5431.0,0.884,0.816,4.457,1
2,0.105539,33.80364366,20.7,745.0,5855.0,1.796,1.174,3.999,0
1,0.032147,5.743469797,3.13,982.0,5897.0,0.891,0.983,4.531,1
1,0.243941,19.97448524,26.56,700.0,6108.0,0.997,1.072,4.471,0
1,0.035047,3.166353562,3.82,1273.0,6007.0,0.998,1.072,4.47,1
1,0.436512,23.89963441,44.04,652.0,6192.0,0.924,0.991,4.503,0
4,0.015454,3.388012244,2.11,1315.0,5553.0,1.25,0.949,4.221,1
4,0.015116,5.83909761,2.06,1097.0,5553.0,1.25,0.949,4.221,1
4,0.011493,1.620467654,1.57,1681.0,5553.0,1.25,0.949,4.221,1
4,0.016847,10.6816951,2.3,897.0,5553.0,1.25,0.949,4.221,1
1,0.04092,6.104849417,3.18,784.0,5085.0,0.712,0.71,4.584,1
1,0.096067,3.578780566,10.43,1145.0,5524.0,0.994,0.95,4.421,1
1,0.269659,3.187067566,23.88,1079.0,5450.0,0.811,0.857,4.552,0
3,0.035356,5.826657508,4.09,1013.0,5561.0,1.06,0.943,4.362,1
3,0.02227,12.41216347,2.58,787.0,5561.0,1.06,0.943,4.362,1
3,0.026327,18.74649011,3.05,686.0,5561.0,1.06,0.943,4.362,1
4,0.040067,20.86021229,5.5,781.0,6035.0,1.257,0.958,4.22,1
4,0.038058,42.63427848,5.22,615.0,6035.0,1.257,0.958,4.22,1
4,0.029163,87.6476068,4.0,484.0,6035.0,1.257,0.958,4.22,1
2,0.042684,9.467821474,2.13,407.0,3582.0,0.458,0.491,4.807,1
2,0.024717,0.893040969,1.24,893.0,3582.0,0.458,0.491,4.807,1
1,0.099444,4.942783419,10.62,1008.0,5514.0,0.978,1.003,4.459,1
1,0.028495,20.83426731,2.74,595.0,5537.0,0.88,0.999,4.549,1
3,0.028229,9.94602357,3.12,807.0,5344.0,1.013,0.867,4.365,1
3,0.013092,1.04562195,1.45,1710.0,5344.0,1.013,0.867,4.365,1
3,0.016046,5.71462396,1.78,971.0,5344.0,1.013,0.867,4.365,1
1,0.050162,102.9641952,39.0,797.0,5047.0,7.119,2.15,3.066,0
4,0.025296,8.14515981,3.43,1050.0,5896.0,1.24,0.884,4.197,1
4,0.318792,18.9985279,43.17,792.0,5896.0,1.24,0.884,4.197,1
4,0.015253,4.24439049,2.07,1305.0,5896.0,1.24,0.884,4.197,1
2,0.026109,28.5742692,2.32,538.0,5551.0,0.812,0.776,4.508,1
1,0.022075,7.34373964,1.84,839.0,5757.0,0.762,0.865,4.597,1
1,0.307625,0.445277068,35.74,2562.0,6167.0,1.064,1.149,4.444,0
2,0.305894,0.379463865,59.56,3000.0,5075.0,1.783,0.905,3.892,0
1,0.235723,9.88047978,23.6,860.0,6113.0,0.917,0.997,4.512,0
1,0.013299,4.6484156,5.06,2259.0,6980.0,3.482,1.671,3.577,0
1,0.110483,17.51201477,13.66,804.0,6224.0,1.132,0.998,4.33,0
1,0.255581,0.525154153,23.61,2073.0,5582.0,0.846,0.819,4.497,0
1,0.282709,1.303861044,27.85,1610.0,5758.0,0.902,0.887,4.475,0
1,0.237273,2.55549176,23.35,1312.0,5948.0,0.901,0.954,4.508,0
1,1.654364,2.947376671,403.59,2404.0,8090.0,2.234,1.828,4.002,0
2,0.056891,224.7789355,7.67,333.0,5873.0,1.235,1.092,4.293,1
1,0.016162,0.890110752,1.25,1372.0,4768.0,0.711,0.815,4.628,0
1,0.015428,5.76573396,7.47,1964.0,5772.0,4.434,1.657,3.364,0
3,0.019228,7.42608123,2.47,1037.0,6049.0,1.176,1.14,4.353,1
3,0.012587,15.9868932,1.62,803.0,6049.0,1.176,1.14,4.353,1
1,0.184858,0.73094589,17.12,1922.0,5901.0,0.848,0.938,4.553,0
3,0.026104,18.92537246,13.92,1171.0,4941.0,4.885,1.808,3.317,1
1,0.013481,0.933749106,3.22,2863.0,6215.0,2.188,1.233,3.849,0
1,0.010693,2.037440623,1.19,1572.0,6253.0,1.015,0.975,4.415,0
3,0.010989,31.5925809,1.78,688.0,5676.0,1.487,1.016,4.1,1
1,0.159864,1.97376085,8.78,753.0,3807.0,0.503,0.534,4.762,1
1,0.066285,4.618767792,7.48,1170.0,6013.0,1.033,0.938,4.381,0
1,0.008919,2.785821236,1.69,1784.0,6202.0,1.733,1.162,4.026,1
1,0.418905,52.56901867,78.54,737.0,7240.0,1.717,1.62,4.178,0
1,0.240197,3.411758679,14.71,684.0,3995.0,0.561,0.582,4.71,0
